TRANSACTION_AMOUNT,TRANSACTION_DATE,DEVICE_ID,IP_ADDRESS,TRANSACTION_TYPE,AGE,OCCUPATION,TRANSACTION_DURATION,LOGIN_ATTEMPTS,ACCOUNT_BALANCE,PREVIOUS_TRANSACTION_DATE
14.09,11-04-2023 16:29,D000380,162.198.218.92,ATM,70,Doctor,81,1,5112.21,04-11-2024 08:08
376.24,27-06-2023 16:44,D000051,13.149.61.4,ATM,68,Doctor,141,1,13758.91,04-11-2024 08:09
126.29,10-07-2023 18:16,D000235,215.97.143.157,Online,19,Student,56,1,1122.35,04-11-2024 08:07
184.5,05-05-2023 16:32,D000187,200.13.225.150,Online,26,Student,25,1,8569.06,04-11-2024 08:09
13.45,16-10-2023 17:51,D000308,65.164.3.100,Online,26,Student,198,1,7429.4,04-11-2024 08:06
92.15,03-04-2023 17:15,D000579,117.67.192.211,ATM,18,Student,172,1,781.68,04-11-2024 08:06
7.08,15-02-2023 16:36,D000241,140.212.253.222,ATM,37,Doctor,139,1,13316.71,04-11-2024 08:10
171.42,08-05-2023 17:47,D000500,92.214.76.157,Branch,67,Retired,291,1,2796.24,04-11-2024 08:10
106.23,21-03-2023 16:59,D000690,24.148.92.177,Branch,51,Engineer,86,1,9095.14,04-11-2024 08:11
815.96,31-03-2023 16:06,D000199,32.169.88.41,ATM,55,Doctor,120,1,1021.88,04-11-2024 08:06
17.78,14-03-2023 16:46,D000205,213.15.9.253,Online,52,Engineer,59,1,7599.52,04-11-2024 08:06
190.02,06-02-2023 17:30,D000589,116.175.11.222,Online,21,Student,173,1,1528.81,04-11-2024 08:07
494.52,07-06-2023 17:21,D000032,210.98.198.143,Branch,24,Student,111,1,1620.02,04-11-2024 08:08
781.76,20-11-2023 16:39,D000054,193.83.0.183,ATM,26,Student,123,1,189.69,04-11-2024 08:07
166.99,13-02-2023 16:53,D000309,188.124.181.12,Online,18,Student,134,1,299.93,04-11-2024 08:10
465.45,12-12-2023 16:23,D000466,221.169.49.152,ATM,36,Engineer,129,1,3465.54,04-11-2024 08:12
555.8,30-10-2023 16:52,D000671,53.218.177.171,Branch,19,Student,158,1,1131.26,04-11-2024 08:07
